id,class,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-size,gill-color,stalk-shape,stalk-color-above-ring,stalk-color-below-ring,veil-color,habitat
1775,e,x,f,w,n,f,b,p,t,w,w,w,g
1776,e,x,f,w,n,f,b,n,t,w,w,w,g
1777,p,f,s,n,p,f,n,n,e,w,w,w,u
1778,p,f,s,w,p,f,n,k,e,w,w,w,u
1779,e,x,s,n,n,f,b,p,t,w,w,w,g
1780,e,x,f,g,n,f,n,n,e,w,w,w,u
1781,e,f,s,n,n,f,,p,t,w,w,w,g
1782,e,x,s,w,n,f,b,k,t,w,w,w,g
1783,p,f,s,w,p,f,n,w,e,w,w,w,g
1784,e,b,s,y,a,f,b,k,e,,w,w,g
1785,e,x,f,n,n,f,b,h,t,w,w,w,g
1786,p,f,y,n,p,f,n,n,e,w,w,w,u
1787,e,x,s,g,n,f,b,h,t,w,w,w,g
1788,e,x,s,g,n,f,b,k,t,w,w,w,g
1789,e,x,s,w,n,f,b,n,t,w,w,w,g
1790,p,f,s,w,p,f,n,n,e,w,w,w,u
1791,e,f,s,w,n,f,b,k,t,w,w,w,g
1792,e,x,f,n,n,f,b,h,t,w,w,w,g
1793,e,f,f,n,n,f,b,p,t,w,w,w,g
1794,e,x,f,n,n,f,b,p,t,w,w,w,g
1795,p,f,y,n,p,f,n,k,e,w,w,w,g
1796,e,x,f,w,n,f,b,p,t,w,w,w,g
1797,e,f,s,w,n,f,b,p,t,w,w,w,g
1798,p,f,y,w,p,f,n,k,e,w,w,w,u
1799,e,f,s,g,n,f,b,p,t,w,w,w,g
1800,e,f,y,n,n,f,b,w,t,w,g,w,d
1801,e,x,f,g,n,f,b,h,t,w,w,w,g
1802,e,x,f,g,n,f,b,u,t,w,p,w,d
1803,e,x,y,n,n,,b,p,t,p,w,w,d
1804,e,f,f,n,n,f,b,n,t,p,g,w,d
1805,e,f,y,e,n,f,b,p,t,p,p,w,d
1806,e,f,s,g,n,f,b,h,t,w,w,w,g
1807,e,x,f,g,n,f,b,u,t,p,p,w,d
1808,e,x,y,g,n,f,b,p,t,g,p,w,d
1809,e,x,f,g,n,f,b,p,t,w,w,w,g
1810,p,f,s,n,p,f,n,n,e,w,w,w,g
1811,e,f,f,n,n,f,b,,t,g,w,w,d
1812,p,x,s,n,p,f,n,n,e,w,w,w,g
1813,e,x,s,w,a,f,b,n,e,w,w,w,g
1814,e,x,s,w,n,f,b,h,t,w,w,w,g
1815,e,x,y,y,a,f,b,g,e,w,w,w,g
1816,p,x,f,g,f,f,b,h,e,n,b,w,g
1817,e,f,s,n,n,,b,k,t,w,w,w,g
1818,e,f,s,w,n,f,b,p,t,w,w,w,g
1819,e,x,f,n,n,f,b,p,t,g,g,w,d
1820,e,f,s,n,n,f,b,h,t,w,w,w,g
1821,e,x,f,n,n,f,b,h,t,w,w,w,g
1822,p,x,s,w,p,f,n,p,e,w,w,w,u
1823,e,f,f,n,n,f,b,p,t,p,g,w,d
1824,e,x,y,w,l,f,b,k,e,w,w,w,g
1825,e,f,f,g,n,f,b,n,t,w,w,w,g
1826,e,x,y,e,n,f,b,n,t,w,g,w,d
1827,e,f,f,w,n,f,b,n,t,w,w,w,g
1828,e,x,s,g,n,f,b,p,t,w,w,w,g
1829,e,x,y,n,n,f,b,n,t,w,p,w,d
1830,e,x,y,g,n,f,b,w,t,w,g,w,d
1831,e,x,f,g,n,f,b,u,t,g,w,w,d
1832,e,f,s,w,n,f,b,n,t,w,w,w,g
1833,e,x,f,g,n,f,b,u,t,p,w,w,d
1834,e,x,f,n,n,f,b,u,t,g,g,w,d
1835,e,x,f,e,n,f,b,w,t,g,w,w,d
1836,e,x,y,n,n,f,b,w,t,p,g,w,d
1837,e,f,f,w,n,f,b,h,t,w,w,w,g
1838,e,x,y,n,n,f,b,p,t,p,w,w,d
1839,e,x,s,g,n,f,b,,t,w,w,w,g
1840,e,x,f,g,n,f,b,h,t,w,w,w,g
1841,e,f,f,w,n,f,b,p,t,w,w,w,g
1842,e,x,y,g,n,f,b,p,t,w,p,w,d
1843,p,f,y,n,p,f,n,k,e,w,w,w,u
1844,e,x,y,e,n,f,b,p,t,p,g,w,d
1845,e,f,f,w,n,f,b,p,t,w,w,w,g
1846,e,f,s,g,n,f,b,h,t,w,w,w,g
1847,e,x,y,g,n,f,b,w,t,g,p,w,d
1848,e,f,f,g,n,f,b,p,t,p,w,w,d
1849,e,x,f,n,n,f,b,w,t,g,,w,d
1850,e,f,f,e,n,f,b,n,t,w,p,w,d
1851,e,x,s,w,n,f,b,h,t,w,w,w,g
1852,e,x,f,e,n,f,b,w,t,w,g,w,d
1853,e,x,f,n,n,f,b,p,t,w,p,w,d
1854,e,x,f,g,n,f,b,u,t,w,w,w,d
1855,e,x,f,n,n,f,b,n,t,p,w,w,d
1856,e,x,f,y,a,f,n,w,t,w,w,w,d
1857,e,x,f,e,n,f,b,w,t,g,g,w,d
1858,p,f,s,w,p,f,n,w,e,w,w,w,g
1859,e,x,s,w,n,f,b,h,t,w,w,w,g
1860,e,x,f,e,n,f,b,u,t,g,g,w,d
1861,e,x,y,n,n,f,b,w,t,p,p,w,d
1862,e,x,f,w,n,f,b,h,t,w,w,w,g
1863,e,x,f,g,n,f,b,w,t,p,w,w,d
1864,e,x,s,g,n,f,b,n,t,w,w,w,g
1865,e,x,y,e,n,f,b,w,t,p,g,w,d
1866,e,x,y,n,,f,b,u,t,p,w,w,d
1867,e,x,s,w,n,f,b,p,t,w,w,w,g
1868,e,x,s,n,n,f,b,n,t,w,w,w,g
1869,e,x,s,w,n,f,b,n,t,w,w,w,g
1870,e,x,s,n,n,f,b,n,t,w,w,w,g
1871,e,f,f,e,n,f,b,n,t,p,g,w,d
1872,e,f,f,w,n,f,b,n,t,w,w,w,g
1873,e,f,f,g,n,f,b,k,t,w,w,w,g
1874,e,x,y,e,n,f,b,w,t,g,g,w,d
1875,e,x,f,e,n,f,b,p,t,p,w,w,d
1876,e,x,y,g,n,f,b,u,t,w,w,w,d
1877,e,x,f,e,n,f,b,p,t,w,g,w,d
1878,e,f,s,n,n,f,b,h,t,w,w,w,g
1879,e,x,s,w,n,f,b,n,t,w,w,w,g
1880,e,x,s,w,n,f,b,h,t,w,w,w,g
1881,e,x,f,w,n,f,b,k,t,w,w,w,g
1882,e,x,f,e,n,f,b,u,t,g,p,w,d
1883,e,x,f,n,n,f,b,u,t,g,g,w,d
1884,e,f,f,n,n,f,b,w,t,g,p,w,d
1885,e,f,f,w,l,f,n,p,t,w,w,w,d
1886,e,f,f,w,n,f,b,k,t,w,w,w,g
1887,p,f,y,w,p,f,n,n,e,w,w,w,g
1888,e,f,f,g,n,f,b,n,t,g,g,w,d
1889,e,x,f,n,n,f,b,w,t,w,g,w,d
1890,e,x,s,w,n,f,b,k,t,w,w,w,g
1891,e,x,f,w,n,f,b,h,t,w,w,w,g
1892,e,x,s,n,n,f,b,h,t,w,w,w,g
1893,e,x,f,n,n,f,b,n,t,w,w,w,g
1894,e,x,s,g,n,f,b,h,t,w,w,w,g
1895,e,x,y,n,n,f,b,w,t,g,g,w,d
1896,e,x,f,n,n,f,b,u,t,p,p,w,d
1897,e,f,s,g,n,f,b,,t,w,w,w,g
1898,e,f,s,n,n,f,b,n,t,w,w,w,g
1899,e,x,s,g,n,f,b,p,t,w,w,w,g
1900,e,f,f,g,n,f,b,n,t,p,w,w,d
1901,e,x,s,w,n,f,b,h,t,w,w,w,g
1902,e,f,f,n,n,f,b,k,t,w,w,w,g
1903,e,f,s,w,n,f,b,h,t,w,w,w,g
1904,e,x,f,g,n,f,b,k,t,w,w,w,g
1905,e,f,f,n,n,f,b,k,t,w,w,w,g
1906,e,f,f,n,n,f,b,p,t,w,w,w,g
1907,e,x,f,n,n,f,b,w,t,w,p,w,d
1908,e,f,s,g,n,f,b,h,t,w,w,w,g
1909,e,f,s,w,n,f,b,n,t,w,w,w,g
1910,e,x,y,e,n,f,b,p,t,g,w,w,d
1911,e,x,y,,n,,b,u,t,g,g,w,d
1912,e,x,y,e,n,f,b,n,t,g,p,w,d
1913,e,x,f,g,n,f,b,h,t,w,w,w,g
1914,e,,f,g,n,f,b,p,t,w,w,w,g
1915,e,f,y,y,l,f,b,p,e,w,w,w,g
1916,p,f,y,w,p,f,n,w,e,w,w,w,u
1917,e,f,s,n,n,f,b,h,t,w,w,w,g
1918,e,f,f,n,n,f,b,k,t,w,w,w,g
1919,e,f,f,n,n,f,b,p,t,g,w,w,d
1920,e,x,f,e,n,f,b,u,t,g,w,w,d
1921,e,f,f,g,n,f,b,p,t,w,w,w,g
1922,e,x,f,n,n,f,b,n,t,w,w,w,g
1923,e,x,f,g,n,f,b,h,t,w,w,w,g
1924,e,x,y,e,n,f,b,w,t,g,w,w,d
1925,e,f,f,n,n,f,b,w,t,g,w,w,d
1926,e,x,f,n,n,f,b,p,t,w,w,w,g
1927,e,x,f,n,n,f,b,p,t,w,w,w,g
1928,e,f,s,w,n,f,b,h,t,w,w,w,g
1929,e,f,s,g,n,f,b,p,t,w,w,w,g
1930,p,f,y,w,p,f,n,w,e,w,w,w,u
1931,e,b,s,w,a,f,b,k,e,w,w,w,g
1932,e,x,f,n,n,f,,w,t,g,w,w,d
1933,e,f,f,g,n,f,b,k,t,w,w,w,g
1934,e,x,f,n,n,f,b,k,t,w,w,w,g
1935,e,x,s,n,n,f,b,k,t,w,w,w,g
1936,e,f,s,w,l,f,n,n,t,w,w,w,d
1937,e,x,f,w,n,f,b,h,t,w,w,w,g
1938,e,x,s,w,n,f,b,h,t,w,w,w,g
1939,e,x,s,g,n,f,b,k,t,w,w,w,g
1940,e,x,y,e,n,f,b,p,t,w,p,w,d
1941,e,f,f,n,n,f,b,n,t,g,p,w,d
1942,e,x,f,n,n,f,b,n,t,w,w,w,d
1943,e,f,f,w,n,f,b,k,t,w,w,w,g
1944,e,f,s,n,n,f,b,n,t,w,w,w,g
1945,p,f,s,w,p,f,n,k,e,w,w,w,u
1946,e,f,f,n,n,f,b,p,t,,w,w,g
1947,e,x,y,g,n,f,b,w,t,g,g,w,d
1948,e,x,y,g,n,f,b,n,t,g,g,w,d
1949,e,x,f,g,n,f,b,p,t,w,w,w,
1950,e,x,f,g,n,f,b,w,t,p,p,w,d
1951,e,x,y,e,n,f,b,u,t,p,p,w,d
1952,e,x,f,g,n,f,b,p,t,g,p,w,d
1953,e,x,f,g,n,f,b,u,t,p,w,w,d
1954,e,x,f,n,n,f,b,p,t,p,g,w,d
1955,p,x,s,w,p,f,n,p,e,w,w,w,g
1956,e,x,f,n,n,f,b,k,t,w,w,w,g
1957,e,x,y,n,n,f,b,w,t,p,p,w,d
1958,e,x,f,g,n,f,b,p,t,w,g,w,d
1959,p,f,y,n,p,f,n,w,e,w,w,w,g
1960,e,x,f,g,n,f,b,u,t,w,g,w,d
1961,e,x,f,g,n,f,b,h,t,w,w,w,g
1962,e,x,f,e,n,f,b,u,t,g,g,w,d
1963,e,f,f,n,n,f,b,k,t,w,w,w,g
1964,e,f,s,w,n,f,b,h,t,w,w,w,g
1965,e,f,s,n,n,f,b,p,t,w,w,w,g
1966,e,x,y,e,n,f,b,w,t,w,g,w,d
1967,e,f,s,n,n,f,b,k,t,w,w,w,g
1968,e,f,f,n,n,f,b,n,t,p,p,w,d
1969,e,f,s,w,n,f,b,h,t,w,w,w,g
1970,e,x,f,n,n,f,b,k,t,w,w,w,g
1971,e,f,f,n,n,f,b,h,t,w,w,w,g
1972,p,x,s,n,p,f,n,w,e,w,w,w,u
1973,e,x,f,n,n,f,b,p,t,w,w,w,d
1974,e,f,s,n,n,f,b,k,t,w,w,w,g
1975,p,f,y,w,p,f,n,n,e,w,w,w,g
1976,e,x,f,n,n,f,b,n,t,p,g,w,d
1977,e,x,f,g,n,f,b,u,t,w,p,w,d
1978,e,f,f,n,n,f,b,p,t,w,w,w,g
1979,e,x,f,e,n,f,b,p,t,g,g,w,d
1980,e,f,f,w,n,f,b,p,t,w,w,w,g
1981,e,x,f,w,n,f,b,h,t,w,w,w,g
1982,e,x,y,w,l,f,b,k,e,w,w,w,m
1983,e,x,s,w,n,f,b,p,t,w,w,w,g
1984,e,x,y,g,n,f,b,u,t,p,g,w,d
1985,e,x,f,g,n,f,b,n,t,g,w,w,d
1986,e,x,s,g,n,f,b,n,t,w,w,w,g
1987,p,f,y,w,p,f,n,n,e,w,w,w,u
1988,e,x,f,e,n,f,b,w,t,w,p,w,d
1989,p,f,s,n,p,f,n,n,e,w,w,w,u
1990,p,f,y,n,p,f,n,w,e,w,w,w,g
1991,e,x,f,g,n,f,b,p,t,p,p,w,d
1992,e,f,s,n,n,f,b,h,t,w,w,w,g
1993,e,x,f,g,n,f,b,p,t,g,w,w,d
1994,e,x,f,n,n,f,b,h,t,w,w,w,g
1995,e,x,f,n,n,f,b,w,t,p,g,w,d
1996,e,f,s,n,n,f,b,p,t,w,w,w,g
1997,e,f,f,n,n,f,b,p,t,w,w,w,g
1998,e,x,s,n,n,f,b,k,t,w,w,w,g
1999,e,x,s,n,n,f,b,k,t,w,w,w,g
2000,e,x,f,n,n,f,b,w,t,g,g,w,d
2001,e,x,y,e,n,f,b,u,t,g,w,w,d
2002,e,f,s,n,n,,b,k,t,w,w,w,g
2003,e,x,f,n,n,f,b,w,t,g,g,w,d
2004,p,f,y,w,p,f,n,w,e,w,w,w,u
2005,e,x,y,y,l,f,b,n,e,w,w,w,g
2006,p,f,s,n,p,f,n,p,e,w,w,w,g
2007,e,f,f,w,n,f,b,h,t,w,w,w,g
2008,e,f,f,n,n,f,b,n,t,w,w,w,g
2009,p,f,s,n,p,f,,w,e,w,w,w,g
2010,e,x,s,n,n,f,b,k,t,w,w,w,g
2011,e,x,f,n,n,f,b,n,t,w,w,w,g
2012,e,x,f,e,n,f,b,u,t,g,w,w,d
2013,e,f,f,n,n,f,b,k,t,w,w,w,g
2014,e,x,f,w,n,f,b,k,t,w,w,w,g
2015,e,f,s,g,n,f,b,p,t,w,w,w,g
2016,e,,f,w,n,f,b,h,t,w,w,w,g
2017,e,f,s,y,a,f,n,n,t,w,w,w,d
2018,e,f,f,w,a,f,n,n,t,,w,w,d
2019,e,f,f,n,n,f,b,p,t,w,w,w,g
2020,e,x,f,,n,f,b,u,t,w,w,w,d
2021,e,x,y,g,n,f,b,n,t,g,p,w,d
2022,e,x,f,n,n,f,b,u,t,,g,w,d
2023,e,x,f,n,n,f,b,k,t,w,w,w,g
2024,e,x,f,g,n,f,b,u,t,w,w,w,d
2025,e,x,f,n,n,f,b,n,t,p,p,w,d
2026,e,x,f,g,n,f,b,p,t,w,w,w,g
2027,e,x,f,n,n,f,b,n,t,w,p,w,d
2028,e,x,s,n,n,f,b,h,t,w,w,w,g
2029,e,b,y,w,l,f,b,k,e,w,w,w,m
2030,e,x,y,e,n,f,b,u,t,w,p,w,d
2031,e,f,s,n,n,f,b,h,t,w,w,w,g
2032,e,x,f,e,n,f,b,w,t,p,p,w,d
2033,e,f,y,n,n,f,b,p,t,g,g,w,d
2034,e,x,y,g,n,f,b,u,t,p,g,w,d
2035,e,x,s,,n,f,b,p,t,w,w,w,g
2036,e,x,s,n,n,f,b,k,t,w,w,w,g
2037,e,x,f,g,n,f,b,p,t,w,w,w,g
2038,e,x,s,g,n,f,b,n,t,w,w,w,g
2039,e,x,y,e,n,,b,w,t,w,p,w,d
2040,e,f,f,g,n,f,b,w,t,p,w,w,d
2041,e,f,f,n,n,f,b,n,t,p,w,w,d
2042,e,x,f,n,n,f,b,k,t,w,w,w,g
2043,e,f,s,n,n,f,b,n,t,w,w,w,g
2044,e,x,f,w,n,f,b,n,t,w,w,w,g
2045,e,x,y,y,a,f,b,p,e,w,w,w,p
2046,e,x,f,e,n,f,b,u,t,w,p,w,d
2047,e,x,f,n,n,f,b,h,t,w,w,w,g
2048,e,x,y,n,n,f,b,p,t,w,g,w,d
2049,e,f,f,g,n,f,b,n,t,w,p,w,d
2050,e,x,f,w,,f,b,k,t,,w,w,g
2051,e,x,y,w,a,f,b,k,e,,w,w,m
2052,e,x,s,n,n,f,b,p,t,w,w,w,g
2053,e,f,s,w,n,f,b,p,t,w,w,w,g
2054,e,f,f,n,n,f,b,u,t,g,w,w,d
2055,e,f,f,w,n,f,b,k,t,w,w,w,g
2056,e,x,f,g,n,f,b,u,t,g,p,w,d
2057,e,x,f,n,n,f,b,p,t,w,g,w,d
2058,e,x,f,w,n,f,b,p,t,w,w,w,g
2059,e,x,s,w,a,f,b,n,e,w,w,w,m
2060,e,f,s,g,n,f,b,n,t,w,w,w,g
2061,p,f,y,n,p,f,n,n,e,w,w,w,g
2062,e,f,f,g,n,f,b,p,t,w,w,w,g
2063,e,x,f,n,n,f,b,n,t,p,w,w,d
2064,e,x,f,w,n,f,b,n,t,w,w,w,g
2065,e,x,y,n,n,f,b,u,t,p,w,w,d
2066,e,x,y,e,n,,b,p,t,,p,w,d
2067,p,f,s,n,p,f,n,n,e,w,w,w,u
2068,e,f,s,g,n,f,b,p,t,w,w,w,g
2069,e,x,f,g,n,f,b,n,t,w,g,w,d
2070,e,f,f,g,n,f,b,n,t,g,p,w,d
2071,e,x,f,g,n,f,b,n,t,w,g,w,d
2072,e,x,f,g,n,f,b,w,t,p,p,w,d
2073,e,x,f,n,n,f,b,u,t,p,g,w,d
2074,p,x,s,w,p,f,n,p,e,w,w,w,u
2075,e,x,s,y,l,f,b,k,e,w,w,w,m
2076,e,x,f,n,n,f,b,n,t,p,p,w,d
2077,e,f,y,n,n,f,b,w,t,w,w,w,d
2078,e,x,s,g,n,f,b,n,t,w,w,w,g
2079,e,x,y,e,n,f,b,u,t,w,p,w,d
2080,e,x,f,g,n,f,b,k,t,w,w,w,g
2081,e,f,s,w,n,f,b,p,t,w,w,w,g
2082,e,x,f,n,n,f,b,n,t,g,g,w,d
2083,e,,f,n,n,f,b,u,t,w,p,w,d
2084,e,f,f,g,n,f,b,n,t,w,w,w,g
2085,e,f,f,g,n,f,b,n,t,w,w,w,g
2086,e,f,f,n,n,f,b,h,t,w,w,w,g
2087,e,x,f,g,n,f,b,p,t,g,w,w,d
2088,e,x,f,,n,f,b,n,t,p,g,w,d
2089,p,f,y,n,p,f,n,p,e,w,w,w,u
2090,e,x,y,g,n,f,b,p,t,g,g,w,d
2091,e,,s,w,n,f,b,k,t,w,w,w,g
2092,e,b,s,w,a,f,b,g,e,w,w,w,
2093,e,x,s,w,n,f,b,h,t,w,w,w,g
2094,e,f,f,n,n,f,b,k,t,w,w,w,g
2095,e,x,y,g,n,f,b,p,t,g,w,w,d
2096,e,f,f,g,n,f,b,n,t,w,w,w,d
2097,e,x,f,,n,f,b,p,t,w,w,w,g
2098,p,x,s,w,p,f,n,n,e,w,w,w,g
2099,e,x,s,n,n,f,b,k,t,w,w,w,g
2100,e,x,y,g,n,f,b,p,t,w,g,w,
2101,e,f,f,g,n,f,b,p,t,w,w,w,d
2102,e,x,y,n,n,f,b,w,t,p,w,w,d
2103,e,x,f,e,n,f,b,p,t,p,g,w,d
2104,e,f,f,n,n,f,b,w,t,g,p,w,d
2105,e,x,f,e,n,f,b,u,t,g,g,w,d
2106,e,f,f,n,n,f,b,p,t,w,w,w,d
2107,e,x,y,e,n,f,b,u,t,p,p,w,d
2108,e,x,f,g,n,f,b,w,t,p,w,w,d
2109,e,f,f,g,n,f,b,p,t,w,w,w,d
2110,e,x,f,e,n,f,b,w,t,g,w,w,d
2111,e,x,y,e,n,f,b,u,t,g,p,w,d
2112,p,x,s,w,p,f,n,w,e,w,w,w,g
2113,e,x,f,e,n,f,b,n,t,p,g,w,d
2114,e,x,y,g,n,f,b,p,t,w,w,w,d
2115,e,x,f,n,n,f,b,p,t,g,g,w,d
2116,e,x,y,e,n,f,b,w,t,w,g,w,d
2117,e,x,y,g,n,f,b,n,t,g,p,w,d
2118,e,x,f,g,n,f,b,n,t,p,p,w,d
2119,e,x,y,g,n,f,b,u,t,g,w,w,d
2120,e,x,f,e,n,f,b,p,t,w,w,w,d
2121,e,f,y,e,n,f,b,n,t,w,w,w,d
2122,e,f,f,n,n,f,b,p,t,g,p,w,d
2123,e,x,f,n,n,f,b,u,t,w,p,w,d
2124,e,,y,g,n,f,b,w,t,p,p,w,d
2125,e,x,y,e,n,f,b,u,t,p,g,w,d
2126,e,x,f,g,n,f,b,p,t,g,g,w,d
2127,e,x,y,g,n,f,b,n,t,w,p,w,d
2128,p,x,f,g,f,f,b,p,e,b,b,w,g
2129,p,f,s,w,p,f,n,p,e,w,w,w,g
2130,e,x,f,e,n,f,b,n,t,p,w,w,d
2131,e,x,f,w,n,f,b,h,t,w,w,w,g
2132,e,x,y,n,n,f,b,u,t,g,w,w,d
2133,e,f,f,n,n,f,b,n,t,g,w,w,d
2134,e,x,f,n,n,f,b,w,t,p,g,w,d
2135,e,x,y,g,n,f,b,u,t,p,w,w,d
2136,e,x,y,g,n,f,,w,t,g,w,w,d
2137,e,x,f,e,n,f,b,u,t,w,p,w,d
2138,e,x,y,n,n,f,b,n,t,w,g,,d
2139,e,x,f,g,n,f,b,w,t,p,g,w,d
2140,e,x,f,e,n,f,b,w,t,p,w,w,d
2141,e,x,y,e,n,f,b,u,t,w,g,w,d
2142,e,x,y,n,n,,b,p,t,p,w,w,d
2143,e,x,y,e,n,f,b,n,t,w,w,w,d
2144,e,f,y,n,n,f,b,p,t,w,g,w,d
2145,e,f,y,n,n,f,b,n,t,p,w,w,d
2146,e,x,y,n,n,f,b,n,t,g,g,w,d
2147,p,f,s,n,p,f,n,n,e,w,w,w,u
2148,e,f,f,e,n,f,b,u,t,w,w,w,d
2149,p,x,s,w,p,f,n,w,e,w,w,w,g
2150,e,x,f,e,n,f,b,u,t,g,p,w,d
2151,e,f,f,n,n,f,b,p,t,g,g,w,d
2152,e,x,y,n,n,f,b,u,t,p,g,w,d
2153,e,f,f,e,n,f,b,p,t,w,g,w,d
2154,e,x,f,e,n,f,b,n,t,w,g,w,d
2155,e,x,f,g,n,f,b,p,t,g,p,w,d
2156,e,x,y,n,n,f,b,n,t,p,g,w,d
2157,e,f,f,n,n,f,b,u,t,w,g,w,d
2158,e,f,f,n,n,f,b,w,t,p,p,w,d
2159,e,x,f,e,n,f,b,u,t,w,g,w,d
2160,e,x,f,n,n,f,b,u,t,w,g,w,d
2161,e,x,f,e,n,f,b,p,t,g,w,w,d
2162,e,f,f,g,n,f,b,p,t,g,p,w,d
2163,e,x,y,n,n,f,b,u,t,w,p,w,d
2164,e,f,f,n,n,f,b,u,t,w,p,w,d
2165,e,x,f,e,n,f,b,n,t,w,p,w,d
2166,e,x,y,e,n,f,b,w,t,p,w,w,d
2167,e,x,f,g,n,f,b,p,t,p,g,w,d
2168,e,x,y,g,n,f,b,n,t,g,g,w,d
2169,e,x,y,e,n,f,b,p,t,p,g,w,d
2170,e,x,y,g,n,f,b,p,t,g,p,w,d
2171,e,x,f,g,n,f,b,n,t,g,g,w,d
2172,e,f,f,g,n,f,b,n,t,g,g,w,d
2173,e,x,y,g,n,f,b,n,t,g,w,w,d
2174,e,x,y,e,n,f,b,n,t,w,g,w,d
2175,e,f,f,n,n,f,b,p,t,w,p,w,d
2176,e,f,f,n,n,f,b,w,t,g,w,w,d
2177,e,x,y,e,n,f,b,p,t,w,w,w,d
2178,p,x,f,g,f,f,b,p,e,n,p,w,d
2179,e,x,y,g,n,f,b,u,t,p,w,w,d
2180,e,x,f,e,n,f,b,w,t,p,g,w,d
2181,e,x,y,n,n,f,b,u,t,g,p,w,d
2182,e,f,f,n,n,f,b,p,t,g,w,w,d
2183,e,x,y,e,n,f,b,w,t,g,p,w,d
2184,e,f,f,n,n,f,b,p,t,g,g,w,d
2185,e,f,y,n,n,f,b,p,t,w,g,w,d
2186,e,f,f,g,n,f,b,p,t,w,p,w,d
2187,e,x,f,e,n,f,b,n,t,p,w,w,d
2188,e,x,f,,n,f,b,w,t,g,p,w,d
2189,e,x,f,g,n,f,b,u,t,g,w,w,
2190,e,x,f,n,n,f,b,u,t,p,w,w,d
2191,e,x,f,g,n,f,b,w,t,w,g,w,d
2192,e,x,s,,n,f,b,k,t,w,w,w,g
2193,e,x,y,e,n,f,b,u,t,p,g,w,d
2194,e,f,f,g,n,f,b,p,t,p,g,w,d
2195,e,x,y,e,n,f,b,n,t,g,w,w,d
2196,e,f,f,g,n,f,b,n,t,g,p,w,d
2197,e,x,f,g,n,f,b,u,t,w,p,w,d
2198,e,x,f,g,n,f,b,n,t,p,p,w,d
2199,e,f,f,g,n,f,b,p,t,w,p,w,d
2200,e,x,s,w,n,f,b,p,t,w,w,w,g
2201,e,x,f,n,n,f,b,w,t,g,w,w,d
2202,e,f,f,n,n,f,b,w,t,p,p,w,d
2203,e,f,f,g,n,f,b,p,t,g,g,w,d
2204,e,x,y,g,n,f,b,w,t,w,w,w,d
2205,e,x,f,e,n,f,b,u,t,w,w,w,d
2206,e,x,y,e,n,f,b,u,t,g,p,w,d
2207,e,x,f,n,n,f,b,w,t,g,p,w,d
2208,e,f,y,g,,f,b,w,t,w,w,w,d
2209,e,x,y,g,n,f,b,w,t,p,p,w,d
2210,p,x,s,p,c,f,n,g,e,w,w,w,d
2211,e,x,y,n,n,f,b,p,t,g,p,w,d
2212,e,f,f,g,n,f,b,n,t,p,w,w,d
2213,e,x,y,e,n,f,b,p,t,w,p,w,d
2214,e,f,f,n,n,f,b,p,t,p,w,w,d
2215,e,x,y,n,n,f,b,w,t,w,g,w,d
2216,e,x,f,g,n,f,b,w,t,g,w,w,d
2217,e,f,f,n,n,f,b,p,t,g,w,w,
2218,e,x,y,n,n,f,b,n,t,p,,w,d
2219,e,x,y,n,n,f,b,w,t,p,w,w,d
2220,e,x,f,e,n,f,b,w,t,p,w,w,d
2221,e,f,f,g,n,f,b,p,t,w,p,w,d
2222,e,x,y,e,n,f,b,n,t,w,w,w,d
2223,e,x,y,e,n,f,b,u,t,g,g,w,d
2224,e,f,f,n,n,f,b,w,t,p,g,w,d
2225,e,x,f,e,n,f,b,p,t,w,p,w,d
2226,e,x,f,e,n,f,b,n,t,p,p,w,d
2227,e,x,f,w,n,f,b,k,t,w,w,,g
2228,e,x,,,n,f,b,p,t,g,g,w,d
2229,e,x,f,e,n,f,b,p,t,g,w,w,d
2230,e,x,y,g,n,f,b,p,t,p,w,w,d
2231,e,x,f,e,n,f,b,w,t,w,p,w,d
2232,e,x,f,g,n,f,b,p,t,w,w,w,d
2233,e,f,y,e,n,f,b,p,t,w,g,w,d
2234,e,f,y,g,n,f,b,p,t,p,g,w,d
2235,e,x,y,e,,f,b,p,t,p,w,w,d
2236,e,x,y,g,n,f,b,p,t,w,g,w,d
2237,e,f,f,g,n,f,b,h,t,w,w,w,g
2238,p,x,f,g,f,f,b,g,e,b,p,w,p
2239,e,x,f,e,n,f,b,p,t,g,w,w,d
2240,e,x,y,e,n,f,b,w,t,w,g,w,d
2241,p,f,s,w,p,f,n,w,e,w,w,w,g
2242,e,f,y,n,n,f,b,u,t,w,w,w,d
2243,e,x,f,e,n,f,b,n,t,p,w,w,d
2244,e,x,y,e,n,f,b,n,t,p,g,w,d
2245,e,x,f,g,n,f,b,n,t,g,w,w,d
2246,e,x,y,g,n,f,b,p,t,g,p,w,d
2247,e,x,f,g,n,f,b,n,t,w,w,w,g
2248,e,x,f,n,n,f,b,u,t,g,w,w,d
2249,e,f,f,e,n,f,b,n,t,g,w,w,d
2250,e,x,y,g,n,f,b,u,t,g,g,w,d
2251,e,f,f,n,n,f,b,w,t,g,p,w,d
2252,e,f,f,g,n,f,b,h,t,w,w,w,g
2253,e,f,f,g,n,f,b,p,t,p,w,w,d
2254,e,x,y,n,n,f,b,w,t,w,w,w,d
2255,e,f,f,g,n,f,b,p,t,p,p,w,d
